iter	MAE
0	12.04934195
1	11.25391841
2	10.53864366
3	9.895239961
4	9.325258821
5	8.8824529
6	8.401445149
7	8.003172085
8	7.603852912
9	7.229735762
10	6.908518326
11	6.597868329
12	6.317452894
13	6.064320887
14	5.837422435
15	5.655178951
16	5.472662721
17	5.296336753
18	5.146918516
19	5.003607143
20	4.900235782
21	4.795291794
22	4.679628812
23	4.582503511
24	4.515566393
25	4.414296901
26	4.324286747
27	4.258263146
28	4.191154189
29	4.124540376
30	4.085437458
31	4.03637029
32	3.987392596
33	3.946350382
34	3.90935753
35	3.87121438
36	3.814892379
37	3.781001396
38	3.753760113
39	3.730606705
40	3.703558975
41	3.682435015
42	3.650192385
43	3.628532925
44	3.599581812
45	3.581736563
46	3.57385824
47	3.545564544
48	3.527262393
49	3.507193396
50	3.486903756
51	3.468313803
52	3.459555931
53	3.458581606
54	3.440520826
55	3.423069867
56	3.410664564
57	3.404650802
58	3.396369272
59	3.376381734
60	3.370255431
61	3.362856399
62	3.355239655
63	3.336831782
64	3.319120893
65	3.311730784
66	3.302484104
67	3.291958
68	3.283543835
69	3.2691986
70	3.268770452
71	3.266440647
72	3.252014108
73	3.238778324
74	3.22920329
75	3.199878446
76	3.190821016
77	3.179805234
78	3.172697546
79	3.164948203
80	3.134029939
81	3.127341172
82	3.117752957
83	3.107344444
84	3.094460915
85	3.078987299
86	3.071407357
87	3.064855856
88	3.035227959
89	3.02877915
90	3.02857995
91	3.010361319
92	3.001981595
93	2.983781874
94	2.972201137
95	2.963120286
96	2.957209601
97	2.950028051
98	2.93754912
99	2.932988846
100	2.929893536
101	2.921422735
102	2.906963588
103	2.899817197
104	2.891620319
105	2.883916182
106	2.876248329
107	2.871244656
108	2.864601059
109	2.847748733
110	2.841464979
111	2.832746374
112	2.828259457
113	2.815345277
114	2.80961919
115	2.803920868
116	2.799484656
117	2.789947603
118	2.781879657
119	2.773162486
120	2.762881367
121	2.758514771
122	2.749458945
123	2.743640211
124	2.733424759
125	2.723097769
126	2.709506823
127	2.701582772
128	2.696432772
129	2.691401511
130	2.683973196
131	2.678272493
132	2.674225533
133	2.668465982
134	2.657910094
135	2.651557682
136	2.645113791
137	2.631809719
138	2.623231112
139	2.609007696
140	2.602466718
141	2.595993444
142	2.585932744
143	2.574259624
144	2.56840577
145	2.565814787
146	2.558205632
147	2.552841901
148	2.544113187
149	2.539261148
150	2.536557004
151	2.530963662
152	2.52607831
153	2.519536733
154	2.514815249
155	2.510413449
156	2.506913302
157	2.504877981
158	2.502252293
159	2.489070456
160	2.478191749
161	2.474416553
162	2.464646277
163	2.462196741
164	2.454360565
165	2.446597917
166	2.430783394
167	2.427398805
168	2.419526568
169	2.413509313
170	2.407661265
171	2.405479681
172	2.395427835
173	2.390822115
174	2.38880028
175	2.385602603
176	2.379180636
177	2.370125322
178	2.361369735
179	2.356014749
180	2.35285414
181	2.349918639
182	2.348174854
183	2.345601486
184	2.342692127
185	2.33971306
186	2.330807952
187	2.324236246
188	2.322863757
189	2.320418928
190	2.31753415
191	2.314345022
192	2.311846769
193	2.304456782
194	2.301606167
195	2.298722029
196	2.289845442
197	2.286274338
198	2.282424952
199	2.273694038
200	2.262960462
201	2.260846027
202	2.258408264
203	2.256041893
204	2.253955778
205	2.251148031
206	2.247143096
207	2.244301051
208	2.242577009
209	2.239797189
210	2.237415975
211	2.220813272
212	2.213660776
213	2.211243529
214	2.198307939
215	2.194905003
216	2.186797539
217	2.179327895
218	2.173529486
219	2.168152528
220	2.167080401
221	2.162360056
222	2.160277847
223	2.152734416
224	2.146824347
225	2.144292235
226	2.134587441
227	2.128787168
228	2.122060514
229	2.118558165
230	2.112025019
231	2.111140321
232	2.107231367
233	2.104629088
234	2.099984588
235	2.094564349
236	2.090684827
237	2.087497245
238	2.086595173
239	2.085337013
240	2.082300661
241	2.081759922
242	2.08015619
243	2.064191759
244	2.063261668
245	2.061793335
246	2.05973246
247	2.055971239
248	2.049787551
249	2.043207751
250	2.033034959
251	2.027421977
252	2.024673696
253	2.021753007
254	2.017912525
255	2.015198611
256	2.012515561
257	2.010214089
258	2.009648186
259	2.004408239
260	1.999180768
261	1.998239612
262	1.99602417
263	1.994616273
264	1.992307094
265	1.989398098
266	1.985949573
267	1.983716061
268	1.98158136
269	1.980509193
270	1.971488814
271	1.969355371
272	1.967961831
273	1.964797018
274	1.960726913
275	1.956461601
276	1.951107688
277	1.949119521
278	1.947627084
279	1.945432999
280	1.940956001
281	1.937002923
282	1.934223783
283	1.929613451
284	1.928062615
285	1.926801435
286	1.922192882
287	1.917216303
288	1.91415585
289	1.910245596
290	1.908947641
291	1.907746461
292	1.904436698
293	1.901382111
294	1.896460699
295	1.89602768
296	1.891930812
297	1.890460749
298	1.889834979
