iter	Passed	Remaining
0	167	100484
1	198	59219
2	231	45977
3	261	39011
4	294	35006
5	313	31056
6	341	28960
7	371	27469
8	399	26261
9	429	25362
10	458	24559
11	488	23931
12	517	23351
13	545	22850
14	576	22492
15	607	22164
16	638	21895
17	666	21550
18	696	21303
19	732	21253
20	748	20650
21	783	20571
22	816	20493
23	850	20419
24	877	20172
25	910	20110
26	945	20055
27	995	20327
28	1034	20371
29	1074	20419
30	1115	20469
31	1154	20488
32	1188	20423
33	1224	20385
34	1277	20624
35	1314	20592
36	1347	20498
37	1381	20428
38	1418	20401
39	1453	20344
40	1487	20278
41	1519	20194
42	1551	20101
43	1584	20026
44	1614	19908
45	1641	19770
46	1662	19563
47	1692	19463
48	1724	19388
49	1757	19336
50	1788	19254
51	1818	19160
52	1846	19060
53	1854	18751
54	1882	18654
55	1916	18618
56	1959	18667
57	1989	18592
58	2022	18541
59	2053	18485
60	2086	18439
61	2117	18374
62	2154	18367
63	2201	18434
64	2259	18595
65	2297	18588
66	2333	18562
67	2371	18555
68	2407	18527
69	2443	18504
70	2453	18278
71	2469	18109
72	2502	18063
73	2563	18218
74	2605	18239
75	2645	18242
76	2685	18239
77	2726	18245
78	2761	18211
79	2793	18158
80	2842	18212
81	2874	18158
82	2902	18082
83	2934	18024
84	2964	17961
85	2994	17897
86	3027	17853
87	3082	17935
88	3119	17911
89	3155	17880
90	3159	17674
91	3197	17656
92	3236	17643
93	3273	17619
94	3309	17595
95	3346	17571
96	3379	17522
97	3424	17540
98	3454	17481
99	3485	17426
100	3514	17365
101	3548	17324
102	3586	17308
103	3624	17286
104	3659	17252
105	3690	17197
106	3720	17139
107	3750	17085
108	3779	17027
109	3810	16975
110	3840	16917
111	3873	16878
112	3903	16823
113	3935	16778
114	3967	16732
115	3999	16687
116	4028	16632
117	4063	16598
118	4113	16626
119	4153	16613
120	4187	16577
121	4222	16545
122	4259	16519
123	4293	16482
124	4328	16450
125	4362	16411
126	4397	16377
127	4433	16346
128	4471	16326
129	4505	16290
130	4541	16259
131	4578	16234
132	4614	16204
133	4649	16169
134	4685	16138
135	4728	16133
136	4764	16100
137	4809	16102
138	4844	16068
139	4878	16030
140	4908	15979
141	4943	15943
142	4973	15894
143	5005	15850
144	5035	15802
145	5067	15759
146	5097	15709
147	5135	15683
148	5165	15634
149	5197	15593
150	5227	15543
151	5263	15513
152	5294	15467
153	5330	15437
154	5365	15404
155	5405	15384
156	5439	15347
157	5471	15306
158	5501	15259
159	5532	15215
160	5566	15178
161	5599	15138
162	5628	15090
163	5661	15050
164	5691	15004
165	5723	14962
166	5757	14927
167	5789	14887
168	5819	14840
169	5849	14795
170	5879	14751
171	5909	14705
172	5941	14664
173	5971	14619
174	6002	14578
175	6031	14531
176	6064	14492
177	6093	14446
178	6124	14405
179	6155	14363
180	6186	14320
181	6215	14275
182	6246	14234
183	6283	14205
184	6313	14162
185	6345	14123
186	6377	14085
187	6408	14043
188	6438	14001
189	6471	13964
190	6501	13921
191	6532	13881
192	6564	13843
193	6596	13804
194	6625	13759
195	6656	13720
196	6685	13676
197	6716	13636
198	6746	13593
199	6778	13557
200	6809	13517
201	6842	13482
202	6882	13460
203	6919	13431
204	6952	13396
205	6985	13360
206	7014	13316
207	7045	13278
208	7075	13236
209	7105	13195
210	7137	13158
211	7168	13119
212	7199	13081
213	7229	13041
214	7261	13003
215	7293	12966
216	7324	12928
217	7358	12894
218	7398	12870
219	7433	12840
220	7472	12814
221	7505	12779
222	7542	12750
223	7580	12723
224	7612	12687
225	7646	12654
226	7679	12619
227	7713	12585
228	7748	12552
229	7781	12518
230	7815	12485
231	7849	12450
232	7882	12416
233	7915	12381
234	7949	12347
235	7983	12313
236	8016	12278
237	8051	12245
238	8084	12211
239	8117	12176
240	8153	12145
241	8183	12106
242	8212	12065
243	8242	12026
244	8272	11986
245	8303	11948
246	8332	11909
247	8363	11870
248	8395	11834
249	8425	11795
250	8454	11756
251	8487	11720
252	8517	11682
253	8549	11646
254	8579	11607
255	8608	11568
256	8638	11528
257	8668	11490
258	8697	11450
259	8726	11412
260	8756	11373
261	8784	11333
262	8816	11297
263	8847	11260
264	8878	11223
265	8907	11184
266	8937	11146
267	8967	11109
268	9016	11094
269	9046	11057
270	9075	11018
271	9104	10979
272	9134	10941
273	9164	10903
274	9193	10864
275	9223	10827
276	9253	10790
277	9284	10753
278	9313	10715
279	9343	10678
280	9373	10640
281	9404	10604
282	9434	10568
283	9464	10530
284	9494	10494
285	9523	10456
286	9554	10420
287	9584	10382
288	9613	10345
289	9643	10308
290	9672	10270
291	9701	10233
292	9730	10195
293	9763	10162
294	9792	10124
295	9822	10088
296	9852	10051
297	9881	10014
298	9912	9978
299	9942	9942
300	9971	9905
301	10004	9871
302	10040	9841
303	10074	9809
304	10107	9776
305	10138	9740
306	10166	9703
307	10196	9666
308	10226	9630
309	10255	9593
310	10284	9557
311	10315	9521
312	10345	9486
313	10374	9449
314	10404	9413
315	10433	9376
316	10463	9340
317	10493	9305
318	10528	9274
319	10566	9245
320	10600	9213
321	10635	9181
322	10669	9149
323	10703	9117
324	10737	9085
325	10775	9056
326	10808	9023
327	10843	8992
328	10877	8959
329	10911	8927
330	10946	8895
331	10978	8862
332	11013	8830
333	11046	8797
334	11079	8764
335	11113	8732
336	11148	8700
337	11180	8666
338	11214	8633
339	11248	8601
340	11281	8568
341	11313	8535
342	11347	8502
343	11377	8466
344	11406	8431
345	11436	8395
346	11465	8359
347	11495	8324
348	11525	8289
349	11557	8255
350	11586	8219
351	11615	8183
352	11645	8148
353	11675	8113
354	11704	8077
355	11734	8042
356	11764	8007
357	11794	7972
358	11824	7937
359	11857	7904
360	11887	7869
361	11916	7834
362	11948	7800
363	11977	7765
364	12007	7730
365	12036	7695
366	12065	7660
367	12095	7625
368	12124	7590
369	12154	7555
370	12182	7519
371	12213	7485
372	12244	7451
373	12273	7416
374	12303	7381
375	12332	7347
376	12365	7314
377	12394	7279
378	12424	7244
379	12463	7215
380	12494	7182
381	12524	7147
382	12557	7114
383	12585	7079
384	12615	7044
385	12645	7010
386	12677	6977
387	12706	6942
388	12739	6909
389	12769	6875
390	12800	6842
391	12830	6808
392	12865	6776
393	12894	6741
394	12926	6708
395	12956	6674
396	12988	6641
397	13018	6607
398	13050	6574
399	13080	6540
400	13111	6506
401	13146	6475
402	13184	6444
403	13219	6413
404	13254	6381
405	13299	6354
406	13330	6321
407	13361	6287
408	13395	6255
409	13425	6221
410	13459	6189
411	13490	6155
412	13523	6123
413	13554	6089
414	13586	6056
415	13617	6022
416	13653	5992
417	13686	5959
418	13722	5928
419	13756	5895
420	13792	5864
421	13825	5831
422	13863	5800
423	13896	5768
424	13935	5737
425	13969	5705
426	14005	5674
427	14039	5642
428	14074	5610
429	14108	5577
430	14148	5547
431	14184	5516
432	14219	5484
433	14257	5453
434	14307	5427
435	14345	5396
436	14385	5365
437	14420	5333
438	14456	5301
439	14485	5267
440	14524	5236
441	14554	5202
442	14586	5169
443	14616	5135
444	14648	5102
445	14678	5068
446	14710	5035
447	14739	5001
448	14769	4967
449	14800	4933
450	14830	4899
451	14863	4866
452	14895	4833
453	14927	4800
454	14956	4766
455	14988	4733
456	15020	4699
457	15051	4666
458	15081	4632
459	15112	4599
460	15143	4565
461	15174	4532
462	15204	4498
463	15234	4465
464	15266	4432
465	15296	4398
466	15328	4365
467	15357	4331
468	15390	4298
469	15422	4265
470	15456	4233
471	15484	4199
472	15519	4166
473	15550	4133
474	15581	4100
475	15611	4066
476	15642	4033
477	15673	4000
478	15703	3966
479	15734	3933
480	15762	3899
481	15794	3866
482	15824	3833
483	15855	3800
484	15884	3766
485	15917	3733
486	15947	3700
487	15978	3667
488	16008	3633
489	16041	3601
490	16071	3567
491	16101	3534
492	16132	3501
493	16162	3468
494	16193	3435
495	16223	3401
496	16256	3368
497	16285	3335
498	16317	3302
499	16347	3269
500	16378	3236
501	16410	3203
502	16451	3172
503	16485	3140
504	16526	3108
505	16555	3075
506	16586	3042
507	16615	3009
508	16647	2976
509	16677	2943
510	16709	2910
511	16740	2877
512	16771	2844
513	16801	2811
514	16833	2778
515	16862	2745
516	16891	2711
517	16927	2679
518	16970	2648
519	17005	2616
520	17042	2584
521	17077	2551
522	17114	2519
523	17149	2487
524	17185	2455
525	17220	2422
526	17255	2390
527	17289	2357
528	17326	2325
529	17360	2292
530	17397	2260
531	17434	2228
532	17474	2196
533	17518	2165
534	17553	2132
535	17590	2100
536	17625	2067
537	17672	2036
538	17706	2003
539	17736	1970
540	17766	1937
541	17795	1904
542	17825	1871
543	17855	1838
544	17885	1804
545	17916	1771
546	17946	1738
547	17978	1705
548	18007	1672
549	18037	1639
550	18066	1606
551	18097	1573
552	18126	1540
553	18156	1507
554	18186	1474
555	18216	1441
556	18247	1408
557	18278	1375
558	18308	1342
559	18338	1309
560	18369	1277
561	18399	1244
562	18430	1211
563	18459	1178
564	18489	1145
565	18525	1112
566	18557	1080
567	18586	1047
568	18617	1014
569	18646	981
570	18678	948
571	18707	915
572	18737	882
573	18767	850
574	18799	817
575	18830	784
576	18859	751
577	18888	718
578	18918	686
579	18947	653
580	18979	620
581	19009	587
582	19038	555
583	19068	522
584	19098	489
585	19127	456
586	19157	424
587	19187	391
588	19217	358
589	19246	326
590	19277	293
591	19306	260
592	19335	228
593	19365	195
594	19394	162
595	19424	130
596	19453	97
597	19485	65
598	19517	32
599	19547	0
