task_type,priority,difficulty,estimated_minutes,task_id,status,source,assignment_log_count,required_qualification_codes,shift_id,shift_date,shift_start_time,shift_actual_start_time,shift_actual_end_time,employee_id,employee_code,cargo_id,cargo_code,created_at,assigned_at,started_at,completed_at,due_at,queue_wait_minutes,assignment_to_start_minutes,fact_execution_minutes,total_cycle_minutes,actual_minutes_db,task_age_minutes,emp_task_assigned_count,emp_task_completed_count,emp_shift_score,minutes_into_shift,emp_profile_performance_factor,emp_profile_sigma,emp_profile_sample_count,emp_profile_mean_minutes,emp_profile_has_mean,emp_profile_source_kind,task_required_qual_count,emp_modifier_factor_product,emp_modifier_sigma_bonus_sum,emp_modifier_sample_count_sum,emp_required_modifier_count,label_true_minutes
PUTAWAY_TO_RACK,5,1,19,1462,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,1,E0001,398,SIMSHIFT-2026-05-10-C-R7OC47QB,2026-06-01T09:06:00+00:00,2026-06-01T09:09:00+00:00,2026-06-01T09:15:00+00:00,2026-06-01T09:34:00+00:00,2026-06-01T11:13:00+00:00,3,6,19,28,19,3,0,0,0,9,1.2599,0.2475,39,25.641,1,mixed,1,1.0,0.0,0,0,19
PUTAWAY_TO_RACK,5,1,19,1463,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,2,E0002,400,SIMSHIFT-2026-05-10-C-JR6O99J3,2026-06-01T09:08:00+00:00,2026-06-01T09:14:00+00:00,2026-06-01T09:16:00+00:00,2026-06-01T09:38:00+00:00,2026-06-01T10:32:00+00:00,6,2,22,30,22,6,0,0,0,14,1.1661,0.1499,30,24.3667,1,mixed,1,1.0,0.0,0,0,22
PUTAWAY_TO_RACK,5,5,22,1464,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,3,E0003,399,SIMSHIFT-2026-05-10-C-BU5PEJII,2026-06-01T09:11:00+00:00,2026-06-01T09:13:00+00:00,2026-06-01T09:16:00+00:00,2026-06-01T09:44:00+00:00,2026-06-01T11:28:00+00:00,2,3,28,33,28,2,0,0,0,13,1.0873,0.0694,31,22.129,1,mixed,1,1.0,0.0,0,0,28
RECEIVE_TO_INBOUND,5,5,16,1465,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,4,E0004,401,SIMSHIFT-2026-06-01-C-YC4OM3WT,2026-06-01T09:35:00+00:00,2026-06-01T09:35:00+00:00,2026-06-01T09:39:00+00:00,2026-06-01T09:58:00+00:00,2026-06-01T10:50:00+00:00,0,4,19,23,19,0,0,0,0,35,1.1648,0.1298,21,16.5714,1,mixed,1,1.0,0.0,0,0,19
RECEIVE_TO_INBOUND,3,2,14,1466,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,5,E0005,402,SIMSHIFT-2026-06-01-C-ERW6Z8VB,2026-06-01T09:52:00+00:00,2026-06-01T09:58:00+00:00,2026-06-01T10:04:00+00:00,2026-06-01T10:24:00+00:00,2026-06-01T11:26:00+00:00,6,6,20,32,20,6,0,0,0,58,1.2719,0.1647,29,19.069,1,mixed,1,1.0,0.0,0,0,20
RECEIVE_TO_INBOUND,3,2,14,1467,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,6,E0006,403,SIMSHIFT-2026-06-01-C-CG1WU16H,2026-06-01T09:56:00+00:00,2026-06-01T09:57:00+00:00,2026-06-01T10:02:00+00:00,2026-06-01T10:21:00+00:00,2026-06-01T11:53:00+00:00,1,5,19,25,19,1,0,0,0,57,1.0333,0.1789,31,14.4839,1,mixed,1,1.0,0.0,0,0,19
RECEIVE_TO_INBOUND,4,4,16,1468,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,7,E0007,404,SIMSHIFT-2026-06-01-C-8MX1EVUH,2026-06-01T09:58:00+00:00,2026-06-01T09:59:00+00:00,2026-06-01T10:04:00+00:00,2026-06-01T10:26:00+00:00,2026-06-01T10:40:00+00:00,1,5,22,28,22,1,0,0,0,59,1.1997,0.1482,21,17.619,1,mixed,1,1.0,0.0,0,0,22
PUTAWAY_TO_RACK,6,5,22,1469,completed,auto,1,MOVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,8,E0008,401,SIMSHIFT-2026-06-01-C-YC4OM3WT,2026-06-01T10:09:00+00:00,2026-06-01T10:15:00+00:00,2026-06-01T10:20:00+00:00,2026-06-01T10:48:00+00:00,2026-06-01T11:45:00+00:00,6,5,28,39,28,6,0,0,0,75,1.1246,0.114,21,22.8095,1,mixed,1,1.0,0.0,0,0,28
RECEIVE_TO_INBOUND,5,3,15,1470,completed,auto,1,RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,9,E0009,405,SIMSHIFT-2026-06-01-C-TSN1U322,2026-06-01T10:11:00+00:00,2026-06-01T10:14:00+00:00,2026-06-01T10:19:00+00:00,2026-06-01T10:36:00+00:00,2026-06-01T12:24:00+00:00,3,5,17,25,17,3,0,0,0,74,0.9996,0.1251,28,14.8929,1,mixed,1,1.0,0.0,0,0,17
RECEIVE_TO_INBOUND,4,5,16,1471,completed,auto,1,FORKLIFT;RECEIVE,11,2026-06-01,2026-06-01T09:00:00+00:00,2026-06-01T09:00:00+00:00,2026-06-01T18:00:00+00:00,11,E0011,406,SIMSHIFT-2026-06-01-C-VFPTOMJB,2026-06-01T10:14:00+00:00,2026-06-01T10:18:00+00:00,2026-06-01T10:25:00+00:00,2026-06-01T10:46:00+00:00,2026-06-01T11:00:00+00:00,4,7,21,32,21,4,0,0,0,78,1.1801,0.1375,30,16.9667,1,mixed,2,1.0042,0.006,25,1,21
